timestamp,event_id,event_title,platform,market_id,side,market_price,consensus_probability,expected_value,signal_strength,liquidity,suggested_bankroll_percent,suggested_amount,best_bid,best_ask,bid_size,ask_size,spread,spread_percent
2026-03-14T09:19:04Z,POWER-28-DH-DS-RP,Republican Sweep,kalshi,kalshi:POWER-28-DH-DS-RP:YES,YES,0.04,0.136,2.38,0.26,1200.0,0.02,2.0,,,,,,
2026-03-14T09:20:34Z,POWER-28-DH-DS-RP,Republican Sweep,kalshi,kalshi:POWER-28-DH-DS-RP:YES,YES,0.04,0.136,2.38,0.26,1200.0,0.02,2.0,,,,,,
2026-03-14T09:31:04Z,uncategorized-2026-balance-power-senate-house-2026-2026-2026-11-03,"2026 Balance of Power: D Senate, D House",polymarket,polymarket:562830:NO,NO,0.645,0.747039,0.097039,0.3287,90171.2793,0.0093,9.28,,,,,,
2026-03-14T09:31:04Z,uncategorized-donald-trump-win-2028-presidential-election-2028-2028-2028-11-07,Will Donald Trump win the 2028 US Presidential Election?,polymarket,polymarket:561255:YES,YES,0.0125,0.981519,0.002,0.515,448477.46875,0.0128,12.77,,,,,,
2026-03-14T09:31:04Z,uncategorized-2026-balance-power-senate-house-2026-2026-2026-11-03,"2026 Balance of Power: D Senate, D House",polymarket,polymarket:562829:YES,YES,0.0065,0.747039,0.3385,0.3287,90171.2793,0.0093,9.28,,,,,,
2026-03-14T09:31:04Z,uncategorized-democratic-party-control-senate-after-2026-2026-2026-2026-11-03,Will the Democratic Party control the Senate after the 2026 Midterm elections?,polymarket,polymarket:562794:YES,YES,0.5,0.617546,0.335,0.2946,209668.6028,0.007,7.01,,,,,,
2026-03-14T09:31:04Z,uncategorized-2026-balance-power-senate-house-2026-2026-2026-11-03,"2026 Balance of Power: D Senate, D House",polymarket,polymarket:562831:YES,YES,0.165,0.747039,0.3,0.3392,139829.3122,0.0161,16.05,,,,,,
2026-03-14T09:31:04Z,uncategorized-2026-balance-power-senate-house-2026-2026-2026-11-03,"2026 Balance of Power: D Senate, D House",polymarket,polymarket:562831:YES,YES,0.165,0.747039,0.18,0.3287,117534.7333,0.0093,9.28,,,,,,
2026-03-14T09:31:04Z,uncategorized-democratic-party-control-senate-after-2026-2026-2026-2026-11-03,Will the Democratic Party control the Senate after the 2026 Midterm elections?,polymarket,polymarket:562802:NO,NO,0.155,0.382454,0.222454,0.2946,209668.6028,0.008,8.03,,,,,,
2026-03-14T09:31:04Z,uncategorized-democratic-party-control-senate-after-2026-2026-2026-2026-11-03,Will the Democratic Party control the Senate after the 2026 Midterm elections?,polymarket,polymarket:562794:YES,YES,0.5,0.617546,0.112546,0.2946,195824.5378,0.007,7.01,,,,,,
2026-03-14T09:31:04Z,uncategorized-2026-balance-power-senate-house-2026-2026-2026-11-03,"2026 Balance of Power: D Senate, D House",polymarket,polymarket:562828:NO,NO,0.525,0.747039,0.217039,0.3392,139829.3122,0.0161,16.05,,,,,,
2026-03-14T09:31:04Z,uncategorized-2026-balance-power-senate-house-2026-2026-2026-11-03,"2026 Balance of Power: D Senate, D House",polymarket,polymarket:562829:YES,YES,0.0065,0.252961,0.241461,0.3392,75454.68254,0.0084,8.43,,,,,,
2026-03-14T09:31:04Z,uncategorized-2026-balance-power-senate-house-2026-2026-2026-11-03,"2026 Balance of Power: D Senate, D House",polymarket,polymarket:562830:YES,YES,0.355,0.747039,0.11,0.3392,139829.3122,0.0161,16.05,,,,,,
2026-03-14T09:31:04Z,uncategorized-democratic-party-control-senate-after-2026-2026-2026-2026-11-03,Will the Democratic Party control the Senate after the 2026 Midterm elections?,polymarket,polymarket:562793:YES,YES,0.505,0.617546,0.107546,0.2946,168939.0501,0.0068,6.78,,,,,,
2026-03-14T09:31:04Z,uncategorized-2026-balance-power-senate-house-2026-2026-2026-11-03,"2026 Balance of Power: D Senate, D House",polymarket,polymarket:562829:YES,YES,0.0065,0.747039,0.1485,0.3392,117534.7333,0.0,0.0,,,,,,
2026-03-14T09:31:04Z,uncategorized-2026-balance-power-senate-house-2026-2026-2026-11-03,"2026 Balance of Power: D Senate, D House",polymarket,polymarket:562831:YES,YES,0.165,0.252961,0.082961,0.3392,117534.7333,0.0036,3.62,,,,,,
2026-03-14T09:31:04Z,uncategorized-2026-balance-power-senate-house-2026-2026-2026-11-03,"2026 Balance of Power: D Senate, D House",polymarket,polymarket:562829:YES,YES,0.0065,0.747039,0.4585,0.3392,139829.3122,0.0161,16.05,,,,,,
2026-03-14T09:31:04Z,uncategorized-democratic-party-control-senate-after-2026-2026-2026-2026-11-03,Will the Democratic Party control the Senate after the 2026 Midterm elections?,polymarket,polymarket:562793:YES,YES,0.505,0.617546,0.33,0.2946,209668.6028,0.0068,6.78,,,,,,
2026-03-14T09:44:28Z,POWER-28-DH-DS-RP,Republican Sweep,kalshi,kalshi:POWER-28-DH-DS-RP:YES,YES,0.04,0.136,0.071,0.26,1200.0,0.02,2.0,,,,,,
2026-03-14T10:18:22Z,uncategorized-2026-balance-power-senate-house-2026-2026-2026-11-03,"2026 Balance of Power: D Senate, D House",polymarket,polymarket:562829:YES,YES,0.0065,0.745798,0.4635,0.3364,139159.5198,0.016,16.02,0.0065,0.0065,0.0,0.0,0.0,0.0
2026-03-14T10:18:22Z,uncategorized-democratic-party-control-senate-after-2026-2026-2026-2026-11-03,Will the Democratic Party control the Senate after the 2026 Midterm elections?,polymarket,polymarket:562794:YES,YES,0.5,0.618316,0.335,0.2946,209620.8815,0.0071,7.06,0.5,0.5,0.0,0.0,0.0,0.0
2026-03-14T10:18:22Z,uncategorized-donald-trump-win-2028-presidential-election-2028-2028-2028-11-07,Will Donald Trump win the 2028 US Presidential Election?,polymarket,polymarket:561255:YES,YES,0.0125,0.981519,0.002,0.5166,448643.67745,0.0129,12.85,0.0125,0.0125,0.0,0.0,0.0,0.0
2026-03-14T17:46:39Z,uncategorized-2026-balance-power-senate-house-2026-2026-2026-11-03,"2026 Balance of Power: D Senate, D House",polymarket,polymarket:562829:YES,YES,0.0055,0.745184,0.4695,0.3329,142259.1255,0.016,16.0,0.0055,0.0055,,,0.0,0.0
2026-03-14T17:46:39Z,uncategorized-democratic-party-control-senate-after-2026-2026-2026-2026-11-03,Will the Democratic Party control the Senate after the 2026 Midterm elections?,polymarket,polymarket:562794:YES,YES,0.495,0.616625,0.34,0.2925,217291.6313,0.0071,7.13,0.495,0.495,,,0.0,0.0
